state,site,year,date,species,female_count,male_count,longitude,latitude,aphid_count,year_day,cdd
Iowa,Sutherland,2005,2005-08-19,Rhopalosiphum padi,106,0,-95.54,42.93,106,231,3271.657
Iowa,Nashua,2005,2005-08-19,Rhopalosiphum padi,72,0,-92.57,42.93,72,231,3252.406
Iowa,Ames,2005,2005-08-19,Rhopalosiphum padi,67,0,-93.78,42.02,67,231,3411.4120000000003
Iowa,McNay,2005,2005-08-19,Rhopalosiphum padi,9,0,-93.42,40.97,9,231,3488.9880000000003
Iowa,Sutherland,2005,2005-08-26,Rhopalosiphum padi,57,0,-95.54,42.93,57,238,3454.782
Iowa,Nashua,2005,2005-08-26,Rhopalosiphum padi,59,0,-92.57,42.93,59,238,3424.4700000000003
Iowa,Ames,2005,2005-08-26,Rhopalosiphum padi,12,0,-93.78,42.02,12,238,3602.7990000000004
Iowa,McNay,2005,2005-08-26,Rhopalosiphum padi,11,0,-93.42,40.97,11,238,3697.4480000000003
Iowa,Sutherland,2005,2005-09-02,Rhopalosiphum padi,151,0,-95.54,42.93,151,245,3642.7580000000003
Iowa,Nashua,2005,2005-09-02,Rhopalosiphum padi,450,0,-92.57,42.93,450,245,3598.109
Iowa,Ames,2005,2005-09-02,Rhopalosiphum padi,66,0,-93.78,42.02,66,245,3791.351
Iowa,McNay,2005,2005-09-02,Rhopalosiphum padi,172,0,-93.42,40.97,172,245,3899.608
Iowa,Sutherland,2005,2005-09-09,Rhopalosiphum padi,80,0,-95.54,42.93,80,252,3861.127
Iowa,Nashua,2005,2005-09-09,Rhopalosiphum padi,59,0,-92.57,42.93,59,252,3793.681
Iowa,Ames,2005,2005-09-09,Rhopalosiphum padi,77,0,-93.78,42.02,77,252,4003.438
Iowa,McNay,2005,2005-09-09,Rhopalosiphum padi,11,0,-93.42,40.97,11,252,4125.1230000000005
Iowa,Sutherland,2005,2005-09-16,Rhopalosiphum padi,27,0,-95.54,42.93,27,259,4056.69
Iowa,Nashua,2005,2005-09-16,Rhopalosiphum padi,7,0,-92.57,42.93,7,259,3983.4930000000004
Iowa,Ames,2005,2005-09-16,Rhopalosiphum padi,7,0,-93.78,42.02,7,259,4195.2570000000005
Iowa,McNay,2005,2005-09-16,Rhopalosiphum padi,10,0,-93.42,40.97,10,259,4321.703
Iowa,Sutherland,2005,2005-09-23,Rhopalosiphum padi,9,0,-95.54,42.93,9,266,4236.224
Iowa,Nashua,2005,2005-09-23,Rhopalosiphum padi,23,0,-92.57,42.93,23,266,4155.746
Iowa,Ames,2005,2005-09-23,Rhopalosiphum padi,40,0,-93.78,42.02,40,266,4375.511
Iowa,McNay,2005,2005-09-23,Rhopalosiphum padi,26,0,-93.42,40.97,26,266,4505.53
Iowa,Sutherland,2005,2005-09-30,Rhopalosiphum padi,4,0,-95.54,42.93,4,273,4358.104
Iowa,Nashua,2005,2005-09-30,Rhopalosiphum padi,6,0,-92.57,42.93,6,273,4266.952
Iowa,Ames,2005,2005-09-30,Rhopalosiphum padi,2,0,-93.78,42.02,2,273,4491.541
Iowa,McNay,2005,2005-09-30,Rhopalosiphum padi,4,0,-93.42,40.97,4,273,4633.251
Iowa,Sutherland,2005,2005-10-07,Rhopalosiphum padi,0,0,-95.54,42.93,0,280,4494.277
Iowa,Nashua,2005,2005-10-07,Rhopalosiphum padi,0,0,-92.57,42.93,0,280,4417.155
Iowa,Ames,2005,2005-10-07,Rhopalosiphum padi,3,0,-93.78,42.02,3,280,4638.91
Iowa,McNay,2005,2005-10-07,Rhopalosiphum padi,2,0,-93.42,40.97,2,280,4774.3460000000005
Iowa,Sutherland,2005,2005-10-14,Rhopalosiphum padi,5,0,-95.54,42.93,5,287,4559.214
Iowa,Nashua,2005,2005-10-14,Rhopalosiphum padi,14,0,-92.57,42.93,14,287,4480.598
Iowa,Ames,2005,2005-10-14,Rhopalosiphum padi,9,0,-93.78,42.02,9,287,4709.085
Iowa,McNay,2005,2005-10-14,Rhopalosiphum padi,53,0,-93.42,40.97,53,287,4845.835
Iowa,Sutherland,2005,2005-10-21,Rhopalosiphum padi,1,0,-95.54,42.93,1,294,4643.6990000000005
Iowa,Nashua,2005,2005-10-21,Rhopalosiphum padi,0,0,-92.57,42.93,0,294,4547.902
Iowa,Ames,2005,2005-10-21,Rhopalosiphum padi,NA,NA,-93.78,42.02,0,294,4789.223
Iowa,McNay,2005,2005-10-21,Rhopalosiphum padi,5,0,-93.42,40.97,5,294,4932.534000000001
Iowa,Sutherland,2005,2005-10-28,Rhopalosiphum padi,0,0,-95.54,42.93,0,301,4652.102
Iowa,Nashua,2005,2005-10-28,Rhopalosiphum padi,2,0,-92.57,42.93,2,301,4550.223
Iowa,Ames,2005,2005-10-28,Rhopalosiphum padi,3,0,-93.78,42.02,3,301,4793.152
Iowa,McNay,2005,2005-10-28,Rhopalosiphum padi,3,0,-93.42,40.97,3,301,4937.265
Iowa,Sutherland,2005,2005-11-04,Rhopalosiphum padi,NA,NA,-95.54,42.93,0,308,4704.4310000000005
Iowa,Nashua,2005,2005-11-04,Rhopalosiphum padi,NA,NA,-92.57,42.93,0,308,4594.037
Iowa,Ames,2005,2005-11-04,Rhopalosiphum padi,3,0,-93.78,42.02,3,308,4854.012000000001
Iowa,McNay,2005,2005-11-04,Rhopalosiphum padi,1,0,-93.42,40.97,1,308,4999.691
Illinois,Dixon Springs,2005,2005-06-03,Rhopalosiphum padi,4,0,-88.67,37.44,4,154,1562.653
Illinois,Monmouth,2005,2005-06-03,Rhopalosiphum padi,17,0,-90.72,40.93,17,154,1118.897
Illinois,DeKalb,2005,2005-06-03,Rhopalosiphum padi,5,0,-88.86,41.84,5,154,885.9490000000001
Illinois,Brownstown,2005,2005-06-03,Rhopalosiphum padi,5,0,-88.96,38.95,5,154,1310.913
Illinois,Orr,2005,2005-06-03,Rhopalosiphum padi,8,0,-90.82,39.81,8,154,1231.546
Illinois,Urbana-Champaign-I,2005,2005-06-03,Rhopalosiphum padi,10,0,-88.23,40.09,10,154,1128.902
Illinois,Freeport,2005,2005-06-03,Rhopalosiphum padi,4,0,-89.7,42.28,4,154,900.2940000000001
Illinois,Joliet,2005,2005-06-03,Rhopalosiphum padi,11,0,-88.1,41.5,11,154,1003.547
Illinois,Eureka,2005,2005-06-03,Rhopalosiphum padi,NA,NA,NA,NA,0,154,NA
Illinois,Dixon Springs,2005,2005-06-10,Rhopalosiphum padi,3,0,-88.67,37.44,3,161,1808.3100000000002
Illinois,Monmouth,2005,2005-06-10,Rhopalosiphum padi,0,0,-90.72,40.93,0,161,1356.337
Illinois,DeKalb,2005,2005-06-10,Rhopalosiphum padi,1,0,-88.86,41.84,1,161,1120.779
Illinois,Brownstown,2005,2005-06-10,Rhopalosiphum padi,2,0,-88.96,38.95,2,161,1560.5210000000002
Illinois,Orr,2005,2005-06-10,Rhopalosiphum padi,3,0,-90.82,39.81,3,161,1475.6550000000002
Illinois,Urbana-Champaign-I,2005,2005-06-10,Rhopalosiphum padi,0,0,-88.23,40.09,0,161,1380.4270000000001
Illinois,Freeport,2005,2005-06-10,Rhopalosiphum padi,1,0,-89.7,42.28,1,161,1134.602
Illinois,Joliet,2005,2005-06-10,Rhopalosiphum padi,5,0,-88.1,41.5,5,161,1252.147
Illinois,Eureka,2005,2005-06-10,Rhopalosiphum padi,13,0,NA,NA,13,161,NA
Illinois,Dixon Springs,2005,2005-06-17,Rhopalosiphum padi,2,0,-88.67,37.44,2,168,2030.0810000000001
Illinois,Monmouth,2005,2005-06-17,Rhopalosiphum padi,0,0,-90.72,40.93,0,168,1565.481
Illinois,DeKalb,2005,2005-06-17,Rhopalosiphum padi,1,0,-88.86,41.84,1,168,1315.487
Illinois,Brownstown,2005,2005-06-17,Rhopalosiphum padi,0,0,-88.96,38.95,0,168,1776.2350000000001
Illinois,Orr,2005,2005-06-17,Rhopalosiphum padi,1,0,-90.82,39.81,1,168,1686.563
Illinois,Urbana-Champaign-I,2005,2005-06-17,Rhopalosiphum padi,2,0,-88.23,40.09,2,168,1580.544
Illinois,Freeport,2005,2005-06-17,Rhopalosiphum padi,1,0,-89.7,42.28,1,168,1335.0700000000002
Illinois,Joliet,2005,2005-06-17,Rhopalosiphum padi,5,0,-88.1,41.5,5,168,1462.281
Illinois,Eureka,2005,2005-06-17,Rhopalosiphum padi,0,0,NA,NA,0,168,NA
Illinois,Dixon Springs,2005,2005-06-24,Rhopalosiphum padi,0,0,-88.67,37.44,0,175,2248.7740000000003
Illinois,Monmouth,2005,2005-06-24,Rhopalosiphum padi,NA,NA,-90.72,40.93,0,175,1793.084
Illinois,DeKalb,2005,2005-06-24,Rhopalosiphum padi,2,0,-88.86,41.84,2,175,1526.2420000000002
Illinois,Brownstown,2005,2005-06-24,Rhopalosiphum padi,2,0,-88.96,38.95,2,175,2000.8500000000001
Illinois,Orr,2005,2005-06-24,Rhopalosiphum padi,3,0,-90.82,39.81,3,175,1908.9730000000002
Illinois,Urbana-Champaign-I,2005,2005-06-24,Rhopalosiphum padi,1,0,-88.23,40.09,1,175,1793.18
Illinois,Freeport,2005,2005-06-24,Rhopalosiphum padi,3,0,-89.7,42.28,3,175,1556.211
Illinois,Joliet,2005,2005-06-24,Rhopalosiphum padi,3,0,-88.1,41.5,3,175,1676.69
Illinois,Eureka,2005,2005-06-24,Rhopalosiphum padi,2,0,NA,NA,2,175,NA
Illinois,Dixon Springs,2005,2005-07-01,Rhopalosiphum padi,1,0,-88.67,37.44,1,182,2518.56
Illinois,Monmouth,2005,2005-07-01,Rhopalosiphum padi,0,0,-90.72,40.93,0,182,2055.2470000000003
Illinois,DeKalb,2005,2005-07-01,Rhopalosiphum padi,2,0,-88.86,41.84,2,182,1775.8590000000002
Illinois,Brownstown,2005,2005-07-01,Rhopalosiphum padi,0,0,-88.96,38.95,0,182,2280.5
Illinois,Orr,2005,2005-07-01,Rhopalosiphum padi,1,0,-90.82,39.81,1,182,2176.59
Illinois,Urbana-Champaign-I,2005,2005-07-01,Rhopalosiphum padi,0,0,-88.23,40.09,0,182,2058.043
Illinois,Freeport,2005,2005-07-01,Rhopalosiphum padi,1,0,-89.7,42.28,1,182,1795.8110000000001
Illinois,Joliet,2005,2005-07-01,Rhopalosiphum padi,0,0,-88.1,41.5,0,182,1946.998
Illinois,Eureka,2005,2005-07-01,Rhopalosiphum padi,0,0,NA,NA,0,182,NA
Illinois,Dixon Springs,2005,2005-07-08,Rhopalosiphum padi,0,0,-88.67,37.44,0,189,2757.3140000000003
Illinois,Monmouth,2005,2005-07-08,Rhopalosiphum padi,2,0,-90.72,40.93,2,189,2263.0860000000002
Illinois,DeKalb,2005,2005-07-08,Rhopalosiphum padi,1,0,-88.86,41.84,1,189,1965.7970000000003
Illinois,Brownstown,2005,2005-07-08,Rhopalosiphum padi,0,0,-88.96,38.95,0,189,2509.552
Illinois,Orr,2005,2005-07-08,Rhopalosiphum padi,1,0,-90.82,39.81,1,189,2388.5330000000004
Illinois,Urbana-Champaign-I,2005,2005-07-08,Rhopalosiphum padi,0,0,-88.23,40.09,0,189,2270.094
Illinois,Freeport,2005,2005-07-08,Rhopalosiphum padi,0,0,-89.7,42.28,0,189,1985.578
Illinois,Joliet,2005,2005-07-08,Rhopalosiphum padi,0,0,-88.1,41.5,0,189,2158.41
Illinois,Eureka,2005,2005-07-08,Rhopalosiphum padi,1,0,NA,NA,1,189,NA
Illinois,Dixon Springs,2005,2005-07-15,Rhopalosiphum padi,0,0,-88.67,37.44,0,196,2994.9610000000002
Illinois,Monmouth,2005,2005-07-15,Rhopalosiphum padi,0,0,-90.72,40.93,0,196,2511.848
Illinois,DeKalb,2005,2005-07-15,Rhopalosiphum padi,0,0,-88.86,41.84,0,196,2196.739
Illinois,Brownstown,2005,2005-07-15,Rhopalosiphum padi,0,0,-88.96,38.95,0,196,2743.257
Illinois,Orr,2005,2005-07-15,Rhopalosiphum padi,0,0,-90.82,39.81,0,196,2625.127
Illinois,Urbana-Champaign-I,2005,2005-07-15,Rhopalosiphum padi,1,0,-88.23,40.09,1,196,2499.443
Illinois,Freeport,2005,2005-07-15,Rhopalosiphum padi,1,0,-89.7,42.28,1,196,2220.678
Illinois,Joliet,2005,2005-07-15,Rhopalosiphum padi,2,0,-88.1,41.5,2,196,2399.891
Illinois,Eureka,2005,2005-07-15,Rhopalosiphum padi,0,0,NA,NA,0,196,NA
Illinois,Dixon Springs,2005,2005-07-22,Rhopalosiphum padi,0,0,-88.67,37.44,0,203,3268.9860000000003
Illinois,Monmouth,2005,2005-07-22,Rhopalosiphum padi,1,0,-90.72,40.93,1,203,2783.614
Illinois,DeKalb,2005,2005-07-22,Rhopalosiphum padi,1,0,-88.86,41.84,1,203,2440.7760000000003
Illinois,Brownstown,2005,2005-07-22,Rhopalosiphum padi,0,0,-88.96,38.95,0,203,3015.1040000000003
Illinois,Orr,2005,2005-07-22,Rhopalosiphum padi,1,0,-90.82,39.81,1,203,2904.1290000000004
Illinois,Urbana-Champaign-I,2005,2005-07-22,Rhopalosiphum padi,0,0,-88.23,40.09,0,203,2753.1730000000002
Illinois,Freeport,2005,2005-07-22,Rhopalosiphum padi,2,0,-89.7,42.28,2,203,2466.263
Illinois,Joliet,2005,2005-07-22,Rhopalosiphum padi,2,0,-88.1,41.5,2,203,2656.5370000000003
Illinois,Eureka,2005,2005-07-22,Rhopalosiphum padi,1,0,NA,NA,1,203,NA
Illinois,Dixon Springs,2005,2005-07-29,Rhopalosiphum padi,0,0,-88.67,37.44,0,210,3526.73
Illinois,Monmouth,2005,2005-07-29,Rhopalosiphum padi,0,0,-90.72,40.93,0,210,3034.194
Illinois,DeKalb,2005,2005-07-29,Rhopalosiphum padi,1,0,-88.86,41.84,1,210,2658.4610000000002
Illinois,Brownstown,2005,2005-07-29,Rhopalosiphum padi,0,0,-88.96,38.95,0,210,3274.2070000000003
Illinois,Orr,2005,2005-07-29,Rhopalosiphum padi,1,0,-90.82,39.81,1,210,3164.5820000000003
Illinois,Urbana-Champaign-I,2005,2005-07-29,Rhopalosiphum padi,2,0,-88.23,40.09,2,210,2989.947
Illinois,Freeport,2005,2005-07-29,Rhopalosiphum padi,5,0,-89.7,42.28,5,210,2689.2760000000003
Illinois,Joliet,2005,2005-07-29,Rhopalosiphum padi,NA,NA,-88.1,41.5,0,210,2893.23
Illinois,Eureka,2005,2005-07-29,Rhopalosiphum padi,0,0,NA,NA,0,210,NA
Illinois,Dixon Springs,2005,2005-08-05,Rhopalosiphum padi,0,0,-88.67,37.44,0,217,3785.068
Illinois,Monmouth,2005,2005-08-05,Rhopalosiphum padi,15,0,-90.72,40.93,15,217,3289.094
Illinois,DeKalb,2005,2005-08-05,Rhopalosiphum padi,6,0,-88.86,41.84,6,217,2892.184
Illinois,Brownstown,2005,2005-08-05,Rhopalosiphum padi,0,0,-88.96,38.95,0,217,3526.308
Illinois,Orr,2005,2005-08-05,Rhopalosiphum padi,4,0,-90.82,39.81,4,217,3412.6780000000003
Illinois,Urbana-Champaign-I,2005,2005-08-05,Rhopalosiphum padi,1,0,-88.23,40.09,1,217,3228.8810000000003
Illinois,Freeport,2005,2005-08-05,Rhopalosiphum padi,5,0,-89.7,42.28,5,217,2927.8050000000003
Illinois,Joliet,2005,2005-08-05,Rhopalosiphum padi,NA,NA,-88.1,41.5,0,217,3143.27
Illinois,Eureka,2005,2005-08-05,Rhopalosiphum padi,2,0,NA,NA,2,217,NA
Illinois,Dixon Springs,2005,2005-08-12,Rhopalosiphum padi,0,0,-88.67,37.44,0,224,4058.121
Illinois,Monmouth,2005,2005-08-12,Rhopalosiphum padi,6,0,-90.72,40.93,6,224,3537.856
Illinois,DeKalb,2005,2005-08-12,Rhopalosiphum padi,11,0,-88.86,41.84,11,224,3116.7090000000003
Illinois,Brownstown,2005,2005-08-12,Rhopalosiphum padi,5,0,-88.96,38.95,5,224,3796.967
Illinois,Orr,2005,2005-08-12,Rhopalosiphum padi,15,0,-90.82,39.81,15,224,3675.0750000000003
Illinois,Urbana-Champaign-I,2005,2005-08-12,Rhopalosiphum padi,7,0,-88.23,40.09,7,224,3480.5860000000002
Illinois,Freeport,2005,2005-08-12,Rhopalosiphum padi,3,0,-89.7,42.28,3,224,3149.819
Illinois,Joliet,2005,2005-08-12,Rhopalosiphum padi,NA,NA,-88.1,41.5,0,224,3381.025
Illinois,Eureka,2005,2005-08-12,Rhopalosiphum padi,8,0,NA,NA,8,224,NA
Illinois,Dixon Springs,2005,2005-08-19,Rhopalosiphum padi,0,0,-88.67,37.44,0,231,4329.77
Illinois,Monmouth,2005,2005-08-19,Rhopalosiphum padi,41,0,-90.72,40.93,41,231,3756.4410000000003
Illinois,DeKalb,2005,2005-08-19,Rhopalosiphum padi,17,0,-88.86,41.84,17,231,3318.203
Illinois,Brownstown,2005,2005-08-19,Rhopalosiphum padi,16,0,-88.96,38.95,16,231,4042.579
Illinois,Orr,2005,2005-08-19,Rhopalosiphum padi,17,0,-90.82,39.81,17,231,3897.647
Illinois,Urbana-Champaign-I,2005,2005-08-19,Rhopalosiphum padi,4,0,-88.23,40.09,4,231,3702.0240000000003
Illinois,Freeport,2005,2005-08-19,Rhopalosiphum padi,4,0,-89.7,42.28,4,231,3349.702
Illinois,Joliet,2005,2005-08-19,Rhopalosiphum padi,NA,NA,-88.1,41.5,0,231,3600.672
Illinois,Eureka,2005,2005-08-19,Rhopalosiphum padi,6,0,NA,NA,6,231,NA
Illinois,Dixon Springs,2005,2005-08-26,Rhopalosiphum padi,8,0,-88.67,37.44,8,238,4596.1
Illinois,Monmouth,2005,2005-08-26,Rhopalosiphum padi,31,0,-90.72,40.93,31,238,3961.139
Illinois,DeKalb,2005,2005-08-26,Rhopalosiphum padi,20,0,-88.86,41.84,20,238,3498.088
Illinois,Brownstown,2005,2005-08-26,Rhopalosiphum padi,21,0,-88.96,38.95,21,238,4277.877
Illinois,Orr,2005,2005-08-26,Rhopalosiphum padi,6,0,-90.82,39.81,6,238,4113.2080000000005
Illinois,Urbana-Champaign-I,2005,2005-08-26,Rhopalosiphum padi,15,0,-88.23,40.09,15,238,3907.442
Illinois,Freeport,2005,2005-08-26,Rhopalosiphum padi,19,0,-89.7,42.28,19,238,3526.617
Illinois,Joliet,2005,2005-08-26,Rhopalosiphum padi,NA,NA,-88.1,41.5,0,238,3801.6620000000003
Illinois,Eureka,2005,2005-08-26,Rhopalosiphum padi,36,0,NA,NA,36,238,NA
Illinois,Dixon Springs,2005,2005-09-02,Rhopalosiphum padi,10,0,-88.67,37.44,10,245,4828.671
Illinois,Monmouth,2005,2005-09-02,Rhopalosiphum padi,65,0,-90.72,40.93,65,245,4175.494000000001
Illinois,DeKalb,2005,2005-09-02,Rhopalosiphum padi,48,0,-88.86,41.84,48,245,3691.7430000000004
Illinois,Brownstown,2005,2005-09-02,Rhopalosiphum padi,55,0,-88.96,38.95,55,245,4502.402
Illinois,Orr,2005,2005-09-02,Rhopalosiphum padi,25,0,-90.82,39.81,25,245,4334.061000000001
Illinois,Urbana-Champaign-I,2005,2005-09-02,Rhopalosiphum padi,57,0,-88.23,40.09,57,245,4114.921
Illinois,Freeport,2005,2005-09-02,Rhopalosiphum padi,NA,NA,-89.7,42.28,0,245,3716.114
Illinois,Joliet,2005,2005-09-02,Rhopalosiphum padi,NA,NA,-88.1,41.5,0,245,4018.5820000000003
Illinois,Eureka,2005,2005-09-02,Rhopalosiphum padi,60,0,NA,NA,60,245,NA
Illinois,Dixon Springs,2005,2005-09-09,Rhopalosiphum padi,24,0,-88.67,37.44,24,252,5050.901
Illinois,Monmouth,2005,2005-09-09,Rhopalosiphum padi,19,0,-90.72,40.93,19,252,4405.581
Illinois,DeKalb,2005,2005-09-09,Rhopalosiphum padi,62,0,-88.86,41.84,62,252,3893.039
Illinois,Brownstown,2005,2005-09-09,Rhopalosiphum padi,67,0,-88.96,38.95,67,252,4724.974
Illinois,Orr,2005,2005-09-09,Rhopalosiphum padi,39,0,-90.82,39.81,39,252,4565.102
Illinois,Urbana-Champaign-I,2005,2005-09-09,Rhopalosiphum padi,40,0,-88.23,40.09,40,252,4330.473
Illinois,Freeport,2005,2005-09-09,Rhopalosiphum padi,NA,NA,-89.7,42.28,0,252,3921.442
Illinois,Joliet,2005,2005-09-09,Rhopalosiphum padi,NA,NA,-88.1,41.5,0,252,4237.419
Illinois,Eureka,2005,2005-09-09,Rhopalosiphum padi,43,0,NA,NA,43,252,NA
Illinois,Dixon Springs,2005,2005-09-16,Rhopalosiphum padi,9,0,-88.67,37.44,9,259,5276.6230000000005
Illinois,Monmouth,2005,2005-09-16,Rhopalosiphum padi,45,0,-90.72,40.93,45,259,4619.918000000001
Illinois,DeKalb,2005,2005-09-16,Rhopalosiphum padi,36,0,-88.86,41.84,36,259,4098.943
Illinois,Brownstown,2005,2005-09-16,Rhopalosiphum padi,5,0,-88.96,38.95,5,259,4944.2880000000005
Illinois,Orr,2005,2005-09-16,Rhopalosiphum padi,3,0,-90.82,39.81,3,259,4778.206
Illinois,Urbana-Champaign-I,2005,2005-09-16,Rhopalosiphum padi,12,0,-88.23,40.09,12,259,4541.579000000001
Illinois,Freeport,2005,2005-09-16,Rhopalosiphum padi,NA,NA,-89.7,42.28,0,259,4117.8150000000005
Illinois,Joliet,2005,2005-09-16,Rhopalosiphum padi,5,0,-88.1,41.5,5,259,4459.091
Illinois,Eureka,2005,2005-09-16,Rhopalosiphum padi,15,0,NA,NA,15,259,NA
Illinois,Dixon Springs,2005,2005-09-23,Rhopalosiphum padi,0,0,-88.67,37.44,0,266,5498.394
Illinois,Monmouth,2005,2005-09-23,Rhopalosiphum padi,44,0,-90.72,40.93,44,266,4819.828
Illinois,DeKalb,2005,2005-09-23,Rhopalosiphum padi,20,0,-88.86,41.84,20,266,4281.1140000000005
Illinois,Brownstown,2005,2005-09-23,Rhopalosiphum padi,18,0,-88.96,38.95,18,266,5156.654
Illinois,Orr,2005,2005-09-23,Rhopalosiphum padi,26,0,-90.82,39.81,26,266,4981.419
Illinois,Urbana-Champaign-I,2005,2005-09-23,Rhopalosiphum padi,18,0,-88.23,40.09,18,266,4743.415
Illinois,Freeport,2005,2005-09-23,Rhopalosiphum padi,43,0,-89.7,42.28,43,266,4296.539
Illinois,Joliet,2005,2005-09-23,Rhopalosiphum padi,12,0,-88.1,41.5,12,266,4658.218
Illinois,Eureka,2005,2005-09-23,Rhopalosiphum padi,9,0,NA,NA,9,266,NA
Illinois,Dixon Springs,2005,2005-09-30,Rhopalosiphum padi,6,0,-88.67,37.44,6,273,5683.76
Illinois,Monmouth,2005,2005-09-30,Rhopalosiphum padi,2,0,-90.72,40.93,2,273,4966.836
Illinois,DeKalb,2005,2005-09-30,Rhopalosiphum padi,12,0,-88.86,41.84,12,273,4405.712
Illinois,Brownstown,2005,2005-09-30,Rhopalosiphum padi,8,0,-88.96,38.95,8,273,5327.521000000001
Illinois,Orr,2005,2005-09-30,Rhopalosiphum padi,13,0,-90.82,39.81,13,273,5133.8
Illinois,Urbana-Champaign-I,2005,2005-09-30,Rhopalosiphum padi,7,0,-88.23,40.09,7,273,4896.759
Illinois,Freeport,2005,2005-09-30,Rhopalosiphum padi,NA,NA,-89.7,42.28,0,273,4419.202
Illinois,Joliet,2005,2005-09-30,Rhopalosiphum padi,1,0,-88.1,41.5,1,273,4806.513
Illinois,Eureka,2005,2005-09-30,Rhopalosiphum padi,4,0,NA,NA,4,273,NA
Illinois,Dixon Springs,2005,2005-10-07,Rhopalosiphum padi,6,0,-88.67,37.44,6,280,5872.024
Illinois,Monmouth,2005,2005-10-07,Rhopalosiphum padi,0,0,-90.72,40.93,0,280,5126.903
Illinois,DeKalb,2005,2005-10-07,Rhopalosiphum padi,2,0,-88.86,41.84,2,280,4560.703
Illinois,Brownstown,2005,2005-10-07,Rhopalosiphum padi,0,0,-88.96,38.95,0,280,5498.226000000001
Illinois,Orr,2005,2005-10-07,Rhopalosiphum padi,0,0,-90.82,39.81,0,280,5291.671
Illinois,Urbana-Champaign-I,2005,2005-10-07,Rhopalosiphum padi,1,0,-88.23,40.09,1,280,5065.871
Illinois,Freeport,2005,2005-10-07,Rhopalosiphum padi,NA,NA,-89.7,42.28,0,280,4571.0160000000005
Illinois,Joliet,2005,2005-10-07,Rhopalosiphum padi,5,0,-88.1,41.5,5,280,4980.4310000000005
Illinois,Eureka,2005,2005-10-07,Rhopalosiphum padi,1,0,NA,NA,1,280,NA
Illinois,Dixon Springs,2005,2005-10-14,Rhopalosiphum padi,12,0,-88.67,37.44,12,287,5990.358
Illinois,Monmouth,2005,2005-10-14,Rhopalosiphum padi,47,0,-90.72,40.93,47,287,5226.814
Illinois,DeKalb,2005,2005-10-14,Rhopalosiphum padi,11,0,-88.86,41.84,11,287,4651.281
Illinois,Brownstown,2005,2005-10-14,Rhopalosiphum padi,NA,NA,-88.96,38.95,0,287,5600.621
Illinois,Orr,2005,2005-10-14,Rhopalosiphum padi,11,0,-90.82,39.81,11,287,5391.771000000001
Illinois,Urbana-Champaign-I,2005,2005-10-14,Rhopalosiphum padi,10,0,-88.23,40.09,10,287,5163.982
